Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1566079200.0 4007.0 61 68 389 NA NA NA NA NA 120 384 570 NA NA NA NA NA 877 540 1622 NA NA NA NA NA 1128 1378 2188 NA NA NA NA NA
1566079200.0 4008.0 43 0 0 NA NA NA NA NA 92 0 0 NA NA NA NA NA 596 224 1292 NA NA NA NA NA 733 551 2130 NA NA NA NA NA
1566079200.0 5.7 333 0 NA NA NA NA NA NA 507 0 NA NA NA NA NA NA 1278 257 NA NA NA NA NA NA 1699 438 NA NA NA NA NA NA
1566079200.0 500200.1 92 176 142 NA NA NA NA NA 161 402 355 NA NA NA NA NA 2869 994 2162 NA NA NA NA NA 1629 1010 3826 NA NA NA NA NA
1566079200.0 500206.0 NA 199 503 0 NA NA NA NA NA 412 624 0 NA NA NA NA NA 6732 2682 516 NA NA NA NA NA 6056 2287 651 NA NA NA NA
1566079200.0 503.0 43 0 NA NA NA NA NA NA 79 0 NA NA NA NA NA NA 215 142 NA NA NA NA NA NA 796 1664 NA NA NA NA NA NA
1566079200.0 504.0 42 0 NA NA NA NA NA NA 80 0 NA NA NA NA NA NA 191 124 NA NA NA NA NA NA 552 454 NA NA NA NA NA NA
1566079200.0 505.0 35 0 NA NA NA NA NA NA 80 0 NA NA NA NA NA NA 189 132 NA NA NA NA NA NA 332 973 NA NA NA NA NA NA
1566079200.0 506.0 42 0 NA NA NA NA NA NA 79 0 NA NA NA NA NA NA 178 131 NA NA NA NA NA NA 349 709 NA NA NA NA NA NA
1566079200.0 507.0 36 0 NA NA NA NA NA NA 78 0 NA NA NA NA NA NA 196 125 NA NA NA NA NA NA 377 726 NA NA NA NA NA NA
1566079200.0 508.0 42 0 NA NA NA NA NA NA 79 0 NA NA NA NA NA NA 165 180 NA NA NA NA NA NA 543 1094 NA NA NA NA NA NA
1566079200.0 509.0 35 0 NA NA NA NA NA NA 77 0 NA NA NA NA NA NA 154 128 NA NA NA NA NA NA 507 606 NA NA NA NA NA NA
1566079200.0 510.0 42 0 NA NA NA NA NA NA 79 0 NA NA NA NA NA NA 248 130 NA NA NA NA NA NA 490 668 NA NA NA NA NA NA
1566079200.0 514.0 16 43 0 NA NA NA NA NA 57 85 0 NA NA NA NA NA 440 186 132 NA NA NA NA NA 1425 753 865 NA NA NA NA NA
1566079200.0 517.0 16 43 0 NA NA NA NA NA 56 86 0 NA NA NA NA NA 1872 189 139 NA NA NA NA NA 2721 276 1687 NA NA NA NA NA
1566079200.0 520.0 16 44 0 NA NA NA NA NA 56 86 0 NA NA NA NA NA 1623 166 111 NA NA NA NA NA 2198 248 196 NA NA NA NA NA
1566079200.0 523.0 16 42 0 NA NA NA NA NA 56 85 0 NA NA NA NA NA 1099 188 178 NA NA NA NA NA 2300 418 1094 NA NA NA NA NA
1566079200.0 524.0 16 43 0 NA NA NA NA NA 57 86 0 NA NA NA NA NA 1838 186 129 NA NA NA NA NA 2675 402 824 NA NA NA NA NA
1566079200.0 527.0 16 37 0 NA NA NA NA NA 56 86 0 NA NA NA NA NA 1501 176 106 NA NA NA NA NA 1923 353 208 NA NA NA NA NA
